Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_List,Skin_Sensitivity,Skin_Profile
14-18,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Benzoyl Peroxide + Salicylic Acid,0.5% + 2% + 5%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil","['Zinc PCA', 'Benzoyl Peroxide', 'Salicylic Acid']",Normal - Sensitive,Comedonal_Normal
14-18,Normal,Normal to Dry,Yes,Acne,Inflammatory,Zinc PCA + Benzoyl Peroxide + Niacinamide,0.5% + 5% + 1%,"Controls sebum production, Kills acne-causing bacteria, Reduces inflammation and regulates sebum","['Zinc PCA', 'Benzoyl Peroxide', 'Niacinamide']",Normal - Sensitive,Inflammatory_Normal
14-18,Normal,Normal to Dry,Yes,Acne,Cyst,Benzoyl Peroxide + Niacinamide + Azelaic Acid,10% + 1% + 8%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","['Benzoyl Peroxide', 'Niacinamide', 'Azelaic Acid']",Normal - Sensitive,Cyst_Normal
14-18,Normal,Normal to Dry,No,Acne,Comedonal,Green Tea Extract + Salicylic Acid + Niacinamide,1% + 0.5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","['Green Tea Extract', 'Salicylic Acid', 'Niacinamide']",Normal - Non-Sensitive,Comedonal_Normal
14-18,Normal,Normal to Dry,No,Acne,Inflammatory,Salicylic Acid + Benzoyl Peroxide + Zinc PCA,3% + 2% + 10%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production","['Salicylic Acid', 'Benzoyl Peroxide', 'Zinc PCA']",Normal - Non-Sensitive,Inflammatory_Normal
14-18,Normal,Normal to Dry,No,Acne,Cyst,Green Tea Extract + Zinc PCA + Azelaic Acid,0.5% + 3% + 1%,"Provides antioxidant and anti-inflammatory benefits, Controls sebum production, Reduces acne and improves skin texture","['Green Tea Extract', 'Zinc PCA', 'Azelaic Acid']",Normal - Non-Sensitive,Cyst_Normal
14-18,Normal,Normal to Oily,Yes,Acne,Comedonal,Niacinamide + Zinc PCA + Benzoyl Peroxide,0.5% + 2% + 8%,"Reduces inflammation and regulates sebum, Controls sebum production, Kills acne-causing bacteria","['Niacinamide', 'Zinc PCA', 'Benzoyl Peroxide']",Normal - Sensitive,Comedonal_Normal
14-18,Normal,Normal to Oily,Yes,Acne,Inflammatory,Salicylic Acid + Zinc PCA + Azelaic Acid,5% + 2% + 3%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture","['Salicylic Acid', 'Zinc PCA', 'Azelaic Acid']",Normal - Sensitive,Inflammatory_Normal
14-18,Normal,Normal to Oily,Yes,Acne,Cyst,Benzoyl Peroxide + Azelaic Acid + Green Tea Extract,3% + 5% + 1%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","['Benzoyl Peroxide', 'Azelaic Acid', 'Green Tea Extract']",Normal - Sensitive,Cyst_Normal
14-18,Normal,Normal to Oily,No,Acne,Comedonal,Niacinamide + Salicylic Acid + Benzoyl Peroxide,8% + 1% + 0.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria","['Niacinamide', 'Salicylic Acid', 'Benzoyl Peroxide']",Normal - Non-Sensitive,Comedonal_Normal
